country_iso,car_maker_name,car_segment_name,car_type_name,energy,body_style,code_age,age_years,log_total_vehicles
TR,ALFA ROMEO,MiTo,MiTo,ESS,BERLINE,3 to 5 years old,4.0,0.9467863269191353
TR,VOLKSWAGEN,Passat,Passat CC 4 MOTION,ESS,COUPE,11 years and older,12.0,2.108330210532463
TR,MERCEDES,Classe E,E 400 D All Terrain Break,DIES,BREAK,3 to 5 years old,4.0,5.188428299218099
TR,PORSCHE,Panamera,Panamera II GTS,ESS,BERLINE,3 to 5 years old,4.0,1.3039332517964597
TR,AUDI,A8,S8 Quattro,ESS,BERLINE,3 to 5 years old,4.0,2.311960405642489
TR,TOYOTA,Proace,Proace II City M,DIES,UTILITAIRE,1 year old,1.0,5.801314642325375
TR,RENAULT,Clio,Clio III Estate,DIES,BREAK,3 to 5 years old,4.0,0.7250211980671105
TR,RENAULT,Megane,Megane IV Berline,DIES,BERLINE,Less than 1 year old,0.5,1.1618008059862421
TR,OPEL,Mokka,Mokka X 4X4,ESS,SUV,11 years and older,12.0,6.7498943257074115
TR,SEAT,Leon,Leon III X-Perience,ESS,BREAK,6 to 10 years old,8.0,7.524371178946162
TR,RENAULT,Megane,Megane II Estate,DIES,BREAK,2 years old,2.0,3.0850520033458158
TR,CITROEN,Jumper,Jumper 3t200,DIES,UTILITAIRE,11 years and older,12.0,4.258312962020965
TR,AUDI,A8,A8 Quattro,DIES-MHEV,BERLINE,2 years old,2.0,1.4665852977459104
TR,RENAULT,Laguna,Laguna III GT,DIES,BERLINE,11 years and older,12.0,2.7910747569043557
TR,OPEL,Zafira,Zafira Life,DIES,MONOSPACE,Less than 1 year old,0.5,6.989462352415018
TR,MERCEDES,Classe E,E 250 CGI Coupé,ESS,COUPE,6 to 10 years old,8.0,4.656059502395216
TR,CUPRA,Formentor,Formentor V,ESS,SUV,2 years old,2.0,5.290128833866974
TR,BMW,X4,X4 xDrive 20d,DIES-MHEV,SUV,2 years old,2.0,4.019436767311466
TR,AUDI,A4,A4 Avant,ESS-MHEV,BREAK,6 to 10 years old,8.0,4.749668737774972
TR,TOYOTA,Proace,Proace II City M,DIES,UTILITAIRE,Less than 1 year old,0.5,5.057010994705984
TR,MASERATI,GranCabrio,GranCabrio MC,ESS,CABRIOLET,11 years and older,12.0,5.887527727939983
TR,DACIA,Lodgy,Lodgy Stepway,DIES,MONOSPACE,6 to 10 years old,8.0,2.8357559449569996
TR,OPEL,Combo,Combo Cargo,ESS,UTILITAIRE,1 year old,1.0,2.6626299097354167
TR,RENAULT,Megane,Megane III CC,DIES,CABRIOLET,6 to 10 years old,8.0,7.689877906074763
TR,SEAT,Arona,Arona,DIES,SUV,3 to 5 years old,4.0,5.544401352863658
TR,SEAT,Altea,Altea,ESS,MONOSPACE,6 to 10 years old,8.0,3.8248273809813274
TR,RENAULT,Megane,Megane IV,ESS,BERLINE,2 years old,2.0,5.744812925828519
TR,CITROEN,Berlingo,Berlingo III Van,ESS,UTILITAIRE,Less than 1 year old,0.5,6.782963100792399
TR,MERCEDES,EQE,EQE 300,ELEC,BERLINE,Less than 1 year old,0.5,0.6931471805599453
TR,PEUGEOT,308,308 II SW,ESS,BREAK,6 to 10 years old,8.0,7.0670988423723715
TR,JAGUAR,F-Type,F-Type S,ESS,CABRIOLET,11 years and older,12.0,2.486330968009821
TR,PEUGEOT,3008,3008 II,HYB-ESS,SUV,2 years old,2.0,2.684521043395118
TR,MERCEDES,Classe E,E 400 Coupé 4Matic,ESS,COUPE,2 years old,2.0,2.6284713525670647
TR,JAGUAR,XF,XF Sportbrake,DIES,BREAK,6 to 10 years old,8.0,1.2062309116015941
TR,HYUNDAI,Santa Fe,Santa Fe I 4WD,ESS,SUV,11 years and older,12.0,5.070720368012547
TR,SKODA,Rapid,Rapid Spaceback,ESS,BREAK,6 to 10 years old,8.0,3.820204327677225
TR,OPEL,Astra,Astra J Sports Tourer,DIES,BREAK,6 to 10 years old,8.0,9.53707643777505
TR,AUDI,A6,A6 Quattro,ESS,BERLINE,3 to 5 years old,4.0,4.696119159971625
TR,MITSUBISHI,Lancer,Lancer,DIES,BERLINE,11 years and older,12.0,4.031254003138476
TR,CITROEN,SpaceTourer,e-SpaceTourer M,ELEC,UTILITAIRE,2 years old,2.0,6.652256747516192
TR,AUDI,A8,S8 Quattro,ESS,BERLINE,6 to 10 years old,8.0,6.194936211762251
TR,VOLKSWAGEN,Transporter,Transporter (T6),DIES,UTILITAIRE,Less than 1 year old,0.5,4.309030853911264
TR,OPEL,Insignia,Insignia 4x4,ESS,BERLINE,6 to 10 years old,8.0,1.826970335890346
TR,RENAULT,Kangoo,Kangoo II (Tout Chemin),DIES,MONOSPACE,11 years and older,12.0,6.859048391430425
TR,AUDI,A5,A5 Cabriolet,ESS,CABRIOLET,3 to 5 years old,4.0,1.838891837650171
TR,OPEL,Astra,Astra G OPC,ESS,BERLINE,11 years and older,12.0,3.687094994107333
TR,FORD,Focus,Focus IV SW,DIES,BREAK,Less than 1 year old,0.5,6.572540776712914
TR,TESLA,Model X,Model X 100D,ELEC,SUV,3 to 5 years old,4.0,9.23390389389847
TR,PEUGEOT,Expert,Expert,DIES,UTILITAIRE,Less than 1 year old,0.5,1.8690066505824667
TR,HYUNDAI,i10,i10,ESS,BERLINE,3 to 5 years old,4.0,1.9748721913838474
TR,FORD,C-Max,Grand C-Max,DIES,MONOSPACE,6 to 10 years old,8.0,0.6931471805599453
TR,JEEP,Wrangler,Wrangler JL,ESS,SUV,2 years old,2.0,0.6931471805599453
TR,IVECO,Daily V,35C11,DIES,UTILITAIRE,11 years and older,12.0,1.7536048206982175
TR,JAGUAR,XF,XF Sportbrake,DIES,BREAK,11 years and older,12.0,6.852461297414995
