car_maker_name,car_segment_name,energy,body_style,code_age,age_years,log_total_vehicles
BMW,Serie 7,DIES,BERLINE,3 to 5 years old,4.8,6.876867644539396
RENAULT,Kangoo Express,ESS,UTILITAIRE,6 to 10 years old,6.7,6.16294477500772
MERCEDES,Classe C,DIES,BREAK,6 to 10 years old,0.6,8.617708319354957
MERCEDES,Classe E,ESS,BERLINE,3 to 5 years old,2.7,6.663978280002052
MERCEDES,Classe E,ESS-MHEV,BREAK,11 years and older,4.4,2.474970131270186
MERCEDES,Classe C,ESS,COUPE,6 to 10 years old,9.0,8.96542674254823
VOLKSWAGEN,Golf,DIES,BREAK,11 years and older,7.2,5.14433564476589
AUDI,Q7,DIES,SUV,11 years and older,10.7,2.807075040541033
HYUNDAI,Accent,ESS,BERLINE,Less than 1 year old,3.4,1.134556816702615
MERCEDES,Classe E,ELEC,BERLINE,11 years and older,4.4,2.9190990569033266
MERCEDES,Classe S,ESS,BERLINE,6 to 10 years old,11.3,1.2850066378196567
BMW,Serie 4,DIES,BERLINE,11 years and older,4.9,7.620853134507236
AUDI,Q7,ESS,SUV,3 to 5 years old,4.6,1.7306654082130355
AUDI,A3,DIES,CABRIOLET,3 to 5 years old,11.2,1.8778470169307668
VOLKSWAGEN,Golf,DIES,BERLINE,6 to 10 years old,8.6,9.286091235627463
FORD,Focus,ESS,BREAK,6 to 10 years old,12.0,5.193469234766597
AUDI,E-Tron,DIES,SUV,Less than 1 year old,8.6,4.940494324739083
OPEL,Corsa,DIES,BERLINE,3 to 5 years old,8.7,3.415016726357229
MERCEDES,Classe C,DIES,CABRIOLET,11 years and older,10.6,4.687203483722688
MERCEDES,Classe E,ESS,BERLINE,11 years and older,7.3,6.228270873856372
RENAULT,Megane,ESS,CABRIOLET,Less than 1 year old,9.2,4.939454923906064
MERCEDES,Classe E,ESS,BERLINE,Less than 1 year old,11.0,5.2687384605357055
MERCEDES,Classe E,DIES,BERLINE,11 years and older,6.6,8.911801110405
PORSCHE,911 type 991,DIES,CABRIOLET,11 years and older,3.4,3.7467445904910823
HYUNDAI,i30,ESS,BERLINE,11 years and older,11.7,5.5608008464576155
