country_name,car_maker_name,car_segment_name,car_type_name,energy,code_age,body_style,total_vehicles
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,111.42915024614561
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,5.4440633598846775
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,13.471021255601434
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,313.22614713195526
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,74.86455660391393
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,3.3554195187200393
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,77.18273964992187
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,15.523457916524155
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,10.755528432955847
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,1727.4597286148035
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.136708543870937
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.006258861618399
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.1893155455571156
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,4.028396337676781
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,10.921870253434985
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,34.2726855492372
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,935.4753728689104
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.178789606898777
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.052969168384737
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.454831165278698
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.6769181809303895
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,3.9513094995969875
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,10.245209451183007
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.000007345885188
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.9107256474466494
Turkey,LAND ROVER,Discovery,Discovery IV,ESS,6 to 10 years old,4X4,2.012501759522459
