country_iso,car_maker_name,car_segment_name,car_type_name,energy,body_style,code_age,age_years,log_total_vehicles
TR,BMW,Serie 5,S4 Avant Quattro,DIES,BREAK,11 years and older,12.0,6.40828127896698
TR,VOLKSWAGEN,Polo,Clio II RS PH2,DIES,BERLINE,11 years and older,12.0,5.842869090485198
TR,CITROEN,Cee'd,Cee'd,DIES,BERLINE,Less than 1 year old,0.5,3.9212374481413734
TR,CITROEN,C-Elysee,C-Elysee,DIES,BERLINE,6 to 10 years old,8.0,8.700489036941399
TR,VOLKSWAGEN,CLA,C 280 Break,ESS,COUPE,11 years and older,12.0,3.8363953123968244
TR,VOLKSWAGEN,Kangoo,Kangoo,DIES,MONOSPACE,Less than 1 year old,0.5,3.788396295027518
TR,KIA,Cee'd,Pro Cee'd,DIES,BERLINE,1 year old,1.0,0.6933512906167373
TR,RENAULT,Megane,Koleos II 4X4,DIES,SUV,1 year old,1.0,1.9374796866360833
TR,RENAULT,Megane,Megane II,ESS,BERLINE,11 years and older,12.0,4.959578632098069
TR,CITROEN,Ducato,Ducato Maxi,DIES,UTILITAIRE,11 years and older,12.0,6.28472112057547
TR,TOYOTA,Yaris,Tiida,DIES,BERLINE,11 years and older,12.0,6.128720562198839
TR,BMW,M3,911 Carrera,DIES,COUPE,11 years and older,12.0,4.268280298836955
TR,VOLKSWAGEN,Focus,Focus II ST,ESS,BERLINE,11 years and older,12.0,0.6931471805599453
TR,CHRYSLER,Classe GLK,GLK 350,DIES,BREAK,11 years and older,12.0,4.806081407350141
TR,BMW,Boxster type 718,E 220 CDI Cabriolet,DIES,COUPE,Less than 1 year old,0.5,1.7678441857475147
TR,DACIA,C5,Lodgy,DIES,BERLINE,11 years and older,12.0,6.983250692116579
TR,SEAT,Fabia,Kodiaq RS 4x4,DIES,SUV,11 years and older,12.0,6.854660135381579
TR,FIAT,Venga,Venga,DIES,MONOSPACE,11 years and older,12.0,7.069492943605118
TR,CITROEN,3008,3008 II,DIES,BERLINE,6 to 10 years old,8.0,8.910770333500842
TR,PORSCHE,370Z,EQ Fortwo Cabrio,ESS,COUPE,11 years and older,12.0,3.923724473462941
TR,SEAT,Fabia,Q2,DIES,BREAK,11 years and older,12.0,6.883451575930294
